# Vietnamese words and their spelling in chữ Hán-Nôm, for the vi-Hani interface catalogue.
#
# scripts/build_vi_hani.py writes apps/review/src/locales/vi-Hani.json from vi.json by replacing
# each word, longest match first, with its spelling here. A word missing from this table stops the
# build; `--propose` suggests spellings for it from the sources below.
#
# source:
#   wiktionary  the English Wiktionary Vietnamese entries (CC BY-SA 4.0), through the kaikki.org
#               extract (https://kaikki.org/dictionary/Vietnamese/, file of 2026-09-20): a "CJK"
#               form of the word, or a character glossed "chữ Nôm form of" it.
#   unihan      the kVietnamese reading in Unihan 18.0.0 (Unicode, 2026-07-31).
#   wiktionary+unihan  a compound whose syllables are each attested in one of those two, joined here.
#   editorial   chosen here without one of those sources: Sino-Vietnamese words written with their
#               Han etymon, and the script names.
# Where the sources attest several spellings of a word, the choice among them is editorial: the one
# for the sense the interface means (trong 𥪝 "in", theo 蹺 "along"), else the most attested.
# The spellings are an editorial reconstruction of how modern interface wording would be written in
# chữ Nôm; no Nôm text attests most of these phrases, and no native reader has reviewed them yet.
word	hannom	source	note
biệt	別	wiktionary	
buộc	纀	wiktionary	
báo	報	wiktionary	
bút	筆	wiktionary	
bạn	伴	wiktionary	
bản	本	wiktionary	
bản in	本印	wiktionary+unihan	each syllable attested
bản khắc	版刻	wiktionary+unihan	each syllable attested
bản phiên	本翻	editorial	phiên 翻 as in 翻音
bản quyền	版權	wiktionary	
bẩn	𪷪	wiktionary	
bật	弼	wiktionary	
bắt	扒	wiktionary	
bỏ	𠬃	wiktionary	
bộ	部	wiktionary	
chia	𢺹	wiktionary	
cho	朱	wiktionary	
chuyển	轉	unihan	
chuẩn bị	準備	wiktionary	
chì	𨦥	wiktionary	
chính	正	wiktionary	
chú giải	註解	wiktionary	
chưa	𣗓	wiktionary	
chất liệu	質料	wiktionary+unihan	each syllable attested
chỉ	只	wiktionary	
chỉ mục	指目	wiktionary+unihan	each syllable attested
chỉnh	整	unihan	
chọn	𫾗	wiktionary	
chờ	徐	wiktionary	
chứa	渚	wiktionary	
chữ	𡨸	wiktionary	
cuối	𣞄	wiktionary	
cuộn	𦄣	wiktionary	
các	各	unihan	
cách	格	wiktionary	
còn	羣	wiktionary	
có	𣎏	wiktionary	
có thể	固體	wiktionary	
công bố	公布	wiktionary+unihan	each syllable attested
công cụ	工具	wiktionary	
cùng	窮	wiktionary	
cũng	共	wiktionary	
cả	哿	wiktionary	
cần	勤	wiktionary	
cập nhật	及日	wiktionary+unihan	each syllable attested
cắt	割	wiktionary	
cổ	古	wiktionary	
của	𧵑	wiktionary	
cửa	𨷯	wiktionary	
danh sách	名冊	wiktionary+unihan	each syllable attested
di	移	wiktionary	
duyệt	閱	editorial	Unihan gives the variant 閲
dính	酩	wiktionary	
dò	𠻀	wiktionary	
dòng	𣳔	wiktionary	
dùng	用	wiktionary	
dư	余	unihan	
dưới	𠁑	wiktionary	
dấu	唒	wiktionary	
dụ	喻	wiktionary	
dừng	亭	wiktionary	
dữ liệu	與料	wiktionary+unihan	each syllable attested
ghi	𥱬	wiktionary	
ghi chú	𥱬註	wiktionary+unihan	each syllable attested
ghép	扱	wiktionary	
giáp cốt văn	甲骨文	wiktionary	
giấy	繶	wiktionary	
giống	種	wiktionary	
giữ	𡨹	wiktionary	
gugyeol	口訣	editorial	the script names written in Han characters
gán	檊	wiktionary	
gì	之	wiktionary	
gõ	𢱗	wiktionary	
gốm	𡑲	wiktionary	
gồm	𡗄	wiktionary	
gỗ	楛	wiktionary	
gộp	𠄦	wiktionary	
gợi	𢭮	wiktionary	
hai	𠄩	wiktionary	
hangul	諺文	editorial	the script names written in Han characters
hiragana	平假名	editorial	the script names written in Han characters
hiện	現	unihan	
hoàn tác	還作	wiktionary+unihan	each syllable attested
hoạt tự	活字	wiktionary+unihan	each syllable attested
hoặc	或	wiktionary	
hán tự	漢字	wiktionary	
hãy	唉	wiktionary	
hình dạng	形樣	wiktionary+unihan	each syllable attested
hẹp	陿	wiktionary	
hết	歇	wiktionary	
hỗn hợp	混合	wiktionary	
hủy	毀	wiktionary	spelled huỷ there
in	印	wiktionary	
kana	假名	editorial	the script names written in Han characters
katakana	片假名	editorial	the script names written in Han characters
kho ngữ liệu	庫語料	wiktionary+unihan	each syllable attested
khoảng	曠	wiktionary	
khung	穹	wiktionary	
khác	恪	wiktionary	
khám phá	勘破	wiktionary+unihan	each syllable attested
khó	𧁷	wiktionary	
khôi phục	恢復	wiktionary	
không	空	wiktionary	
không thể	空體	wiktionary	
khớp	級	wiktionary	
kim loại	金類	wiktionary+unihan	each syllable attested
kim văn	金文	wiktionary+unihan	each syllable attested
kiếm	劍	wiktionary	
kiểm	檢	editorial	Sino-Vietnamese reading of the Han word
